City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Gouré,13.9835,10.2704,80.62,8,42,8.12,NE,1618713612
Kurchum,48.5722,83.6542,51.91,54,8,6.78,KZ,1618713613
Hermanus,-34.4187,19.2345,71.01,24,0,1.99,ZA,1618713613
Kavieng,-2.5744,150.7967,83.55,73,55,9.98,PG,1618713596
Bacungan,9.9106,118.7022,84.2,74,90,9.22,PH,1618713614
Ushuaia,-54.8,-68.3,51.8,58,40,11.5,AR,1618713586
Rikitea,-23.1203,-134.9692,77.34,68,43,3.65,PF,1618713615
Vaini,-21.2,-175.2,80.6,65,40,5.75,TO,1618713615
Tocopilla,-22.092,-70.1979,67.6,67,2,6.89,CL,1618713615
Mataura,-46.1927,168.8643,59.36,68,50,7.92,NZ,1618713616
Pevek,69.7008,170.3133,27.01,81,7,18.45,RU,1618713616
Tarakan,3.3,117.6333,84.2,79,75,5.75,ID,1618713616
Plettenberg Bay,-34.0527,23.3716,66.87,37,0,4.09,ZA,1618713617
Zatoka,46.0725,30.4654,37.4,100,99,6.22,UA,1618713617
Hilo,19.7297,-155.09,74.52,54,75,9.22,US,1618713617
Yellowknife,62.456,-114.3525,33.03,75,75,10.36,CA,1618713462
Birjand,32.8663,59.2211,55.4,35,0,13.8,IR,1618713618
Gijang,35.2442,129.2139,59.0,36,40,11.5,KR,1618713618
Bethel,41.3712,-73.414,45.63,66,90,3.44,US,1618713346
Bilibino,68.0546,166.4372,26.4,68,3,6.49,RU,1618713619
Oddur,4.1213,43.8894,72.5,89,58,7.54,SO,1618713619
Fort Nelson,58.8053,-122.7002,42.8,75,90,5.75,CA,1618713620
Vangaindrano,-23.35,47.6,61.97,67,22,6.08,MG,1618713377
Biloela,-24.4167,150.5,80.46,39,0,8.66,AU,1618713367
Tufānganj,26.3167,89.6667,80.78,57,0,10.98,IN,1618713620
Nikolskoye,59.7035,30.7861,38.75,52,0,6.71,RU,1618713621
Byron Bay,-28.65,153.6167,68.59,64,90,14.97,AU,1618713622
Chilmāri,25.5559,89.6715,81.99,53,3,7.0,BD,1618713622
Hobart,-42.8794,147.3294,61.74,51,75,17.27,AU,1618713576
Savannah Bight,16.45,-85.85,82.99,89,35,1.99,HN,1618713622
George Town,5.4112,100.3354,86.72,74,20,3.44,MY,1618713509
Tiksi,71.6872,128.8694,9.84,80,100,7.09,RU,1618713623
Sinnamary,5.3833,-52.95,78.31,77,85,12.88,GF,1618713541
Catabola,-12.15,17.2833,59.54,82,79,1.45,AO,1618713623
Castro,-24.7911,-50.0119,56.44,95,4,2.66,BR,1618713624
Sokolovyy,51.5686,45.8331,47.46,98,26,9.75,RU,1618713624
Nanortalik,60.1432,-45.2371,25.16,53,0,25.41,GL,1618713625
Puerto Escondido,15.85,-97.0667,79.34,67,4,9.17,MX,1618713625
Bluff,-46.6,168.3333,55.45,75,83,29.93,NZ,1618713625
Caravelas,-17.7125,-39.2481,73.45,84,35,5.3,BR,1618713500
Skibbereen,51.55,-9.2667,44.6,100,75,11.5,IE,1618713626
Huaura,-11.07,-77.5994,67.91,87,76,5.66,PE,1618713627
Arraial do Cabo,-22.9661,-42.0278,75.2,83,0,11.5,BR,1618713627
Iisalmi,63.5592,27.1907,28.4,86,0,1.14,FI,1618713628
Punta Arenas,-53.15,-70.9167,50.0,71,75,4.61,CL,1618713628
Kyshtovka,56.555,76.6271,35.04,96,100,5.06,RU,1618713629
Oranjestad,12.524,-70.027,80.28,83,20,20.71,AW,1618713629
Ahipara,-35.1667,173.1667,62.31,56,100,6.24,NZ,1618713580
Dikson,73.5069,80.5464,-6.03,96,50,3.85,RU,1618713630
Saint-Pierre,-21.3393,55.4781,68.36,88,75,8.05,RE,1618713630
Deputatsky,69.3,139.9,17.08,78,100,19.77,RU,1618713512
Busselton,-33.65,115.3333,72.52,44,0,4.79,AU,1618713631
Union,40.6334,-74.2663,50.27,46,90,3.44,US,1618713406
Tual,-5.6667,132.75,81.25,78,100,14.12,ID,1618713561
Mar del Plata,-38.0023,-57.5575,66.16,100,90,10.69,AR,1618713551
Brae,60.3964,-1.353,42.8,75,2,19.57,GB,1618713631
Bredasdorp,-34.5322,20.0403,48.2,87,0,9.22,ZA,1618713632
Kamina,-8.7386,24.9906,60.6,95,42,4.36,CD,1618713632
Puerto Ayora,-0.7393,-90.3518,73.99,99,60,1.01,EC,1618713633
Albany,42.6001,-73.9662,41.86,75,93,2.82,US,1618713633
Necochea,-38.5473,-58.7368,61.0,95,78,3.0,AR,1618713634
Provideniya,64.3833,-173.3,32.5,88,74,5.41,RU,1618713634
Geraldton,-28.7667,114.6,78.8,27,0,5.75,AU,1618713634
Salalah,17.0151,54.0924,77.0,61,20,2.3,OM,1618713635
New Norfolk,-42.7826,147.0587,59.49,76,100,5.99,AU,1618713635
Padang,-0.9492,100.3543,78.8,83,20,1.14,ID,1618713493
Barrow,71.2906,-156.7887,33.8,75,1,14.97,US,1618713487
Bambanglipuro,-7.95,110.2833,84.83,66,66,2.3,ID,1618713636
Tasiilaq,65.6145,-37.6368,23.0,80,90,2.71,GL,1618713636
Okhotsk,59.3833,143.3,29.66,92,100,7.7,RU,1618713637
Finale Ligure,44.1695,8.3436,40.69,40,0,13.8,IT,1618713637
Flin Flon,54.7682,-101.865,30.27,87,100,10.09,CA,1618713638
Bud,39.447,-86.1758,48.29,61,10,6.96,US,1618713638
Laguna,38.421,-121.4238,82.4,10,1,12.66,US,1618713639
Mahébourg,-20.4081,57.7,75.2,94,40,3.44,MU,1618713639
Oruzgan,32.8333,66.0,57.04,35,4,4.79,AF,1618713639
Aykhal,66.0,111.5,5.32,90,100,18.72,RU,1618713640
Lincoln,40.8,-96.667,45.03,61,1,6.91,US,1618713640
Nizhniy Kuranakh,58.8353,125.4869,27.59,69,100,5.61,RU,1618713641
Stornoway,58.2093,-6.3865,45.82,87,90,25.32,GB,1618713642
Makakilo City,21.3469,-158.0858,77.72,53,75,10.36,US,1618713642
Novikovo,51.1537,37.8879,42.78,88,95,5.82,RU,1618713642
Császártöltés,46.4219,19.1836,44.01,74,100,2.93,HU,1618713643
Saint Paul Harbor,57.79,-152.4072,41.0,87,90,3.44,US,1618713476
Fortuna,40.5982,-124.1573,50.31,100,1,9.22,US,1618713563
Mahina,-17.5065,-149.489,86.0,66,20,10.36,PF,1618713644
Qaqortoq,60.7167,-46.0333,21.2,42,20,1.14,GL,1618713645
Mount Isa,-20.7333,139.5,80.6,28,0,12.66,AU,1618713645
Sur,22.5667,59.5289,83.89,48,79,3.36,OM,1618713645
Lüderitz,-26.6481,15.1594,76.53,39,6,6.15,NA,1618713646
Lebu,-37.6167,-73.65,54.77,90,100,6.26,CL,1618713646
Urengoy,65.9667,78.3667,0.59,94,100,10.74,RU,1618713646
Akdepe,42.0551,59.3788,53.6,50,0,2.24,TM,1618713647
Saskylakh,71.9167,114.0833,10.92,89,100,13.09,RU,1618713647
Saint-Joseph,-21.3667,55.6167,67.8,94,90,6.91,RE,1618713648
Province of Groningen,53.25,6.75,36.01,93,9,3.44,NL,1618713648
Husavik,66.0449,-17.3389,35.6,100,90,6.91,IS,1618713648
Khedbrahma,24.0333,73.05,88.59,23,2,5.48,IN,1618713649
Atuona,-9.8,-139.0333,80.74,73,40,18.7,PF,1618713649
Los Llanos de Aridane,28.6585,-17.9182,68.0,68,75,11.5,ES,1618713650
La Romana,18.4273,-68.9728,75.2,94,20,8.72,DO,1618713650
Mushie,-3.0167,16.9,72.36,97,99,2.66,CD,1618713650
Khatanga,71.9667,102.5,2.17,90,100,13.47,RU,1618713651
Acapulco de Juárez,16.8634,-99.8901,78.8,78,20,4.61,MX,1618713651
Kieta,-6.2167,155.6333,84.65,73,83,2.68,PG,1618713651
Qaanaaq,77.484,-69.3632,-1.75,95,100,6.62,GL,1618713491
Ostrovnoy,68.0531,39.5131,28.29,78,100,8.39,RU,1618713652
Nelson Bay,-32.7167,152.15,65.52,72,40,10.36,AU,1618713387
Oxford,51.7522,-1.256,36.28,70,90,3.44,GB,1618713652
Kahului,20.8947,-156.47,71.55,69,40,16.11,US,1618713501
San Miguel de Cozumel,20.5083,-86.9458,80.8,83,40,6.91,MX,1618713653
Grindavik,63.8424,-22.4338,35.6,75,75,14.97,IS,1618713567
Kargil,34.5667,76.1,33.89,60,97,7.67,IN,1618713654
Saint George,37.1041,-113.5841,64.4,15,1,17.27,US,1618713464
Hithadhoo,-0.6,73.0833,82.02,63,69,4.12,MV,1618713654
Colares,38.7992,-9.4469,57.0,72,100,4.09,PT,1618713654
Aguada de Pasajeros,22.385,-80.8508,78.8,83,5,5.75,CU,1618713655
Baoqing,46.3317,132.2111,53.62,49,44,12.66,CN,1618713655
Tuktoyaktuk,69.4541,-133.0374,26.6,80,75,10.36,CA,1618713656
Cuauhtémoc,28.4167,-106.8667,57.0,29,2,5.01,MX,1618713656
Cape Town,-33.9258,18.4232,62.98,71,0,2.3,ZA,1618713657
Asău,46.4333,26.4,42.01,54,77,2.89,RO,1618713657
Pontes e Lacerda,-15.2261,-59.3353,70.86,96,32,2.26,BR,1618713657
Ilulissat,69.2167,-51.1,8.6,61,90,17.27,GL,1618713534
San Javier,37.8063,-0.8374,58.39,77,75,6.91,ES,1618713658
Touros,-5.1989,-35.4608,77.0,94,75,3.44,BR,1618713519
Adrar,20.5022,-10.0711,70.12,24,0,9.6,MR,1618713539
Port Moresby,-9.4431,147.1797,87.8,70,40,11.5,PG,1618713659
Calama,-22.4667,-68.9333,51.8,32,0,9.22,CL,1618713660
Kungurtug,50.5994,97.5228,40.19,43,70,0.87,RU,1618713660
Esim,4.8699,-2.2405,79.95,82,100,6.64,GH,1618713661
Thompson,55.7435,-97.8558,28.4,69,90,10.36,CA,1618713661
Dhidhdhoo,6.8833,73.1,84.25,71,97,6.93,MV,1618713661
Port Alfred,-33.5906,26.891,65.88,40,4,8.34,ZA,1618713662
Tilichiki,60.4667,166.1,30.76,85,43,4.43,RU,1618713663
Coahuayana Viejo,18.7333,-103.6833,69.22,76,0,1.07,MX,1618713663
Upernavik,72.7868,-56.1549,4.75,87,100,7.05,GL,1618713664
Kutum,14.2,24.6667,68.7,12,60,8.68,SD,1618713664
Aklavik,68.2191,-135.0107,43.65,42,100,9.22,CA,1618713664
Quryq,43.2,51.65,61.74,37,100,6.13,KZ,1618713665
Nouadhibou,20.931,-17.0347,66.2,77,0,20.71,MR,1618713665
Airai,-8.9266,125.4092,72.21,58,75,4.34,TL,1618713666
Bathsheba,13.2167,-59.5167,78.8,65,20,18.41,BB,1618713666
Olafsvik,64.8945,-23.7142,37.04,60,100,17.05,IS,1618713667
Genhe,50.7833,121.5167,53.87,30,0,10.36,CN,1618713667
Bara,10.3744,10.7288,76.37,74,89,6.93,NG,1618713668
Sri Aman,1.2376,111.4621,73.2,94,75,3.44,MY,1618713669
Praia da Vitória,38.7333,-27.0667,59.43,88,20,8.3,PT,1618713669
Karsun,54.1994,46.9827,41.0,70,12,6.11,RU,1618713670
Saint-Philippe,-21.3585,55.7679,69.22,94,90,6.91,RE,1618713670
Saint Anthony,45.0205,-93.218,48.88,35,40,3.44,US,1618713670
Ranong,9.9658,98.6348,86.0,79,40,5.75,TH,1618713611
Port Blair,11.6667,92.75,85.08,66,11,5.59,IN,1618713671
Lata,40.1629,-8.3327,51.42,87,100,3.33,PT,1618713672
Preobrazheniye,42.9019,133.9064,49.35,54,100,3.65,RU,1618713672
Nador,35.174,-2.9287,53.01,88,0,5.75,MA,1618713672
Kapaa,22.0752,-159.319,72.36,53,75,13.8,US,1618713673
Changping,40.2186,116.2197,65.77,25,0,4.47,CN,1618713673
Okha,53.5739,142.9478,36.45,94,78,4.92,RU,1618713674
Eyl,7.9803,49.8164,81.99,64,86,9.1,SO,1618713674
Khatassy,61.9036,129.6383,30.2,43,40,15.66,RU,1618713675
San Quintín,30.4833,-115.95,57.45,81,0,10.36,MX,1618713676
Korla,41.7597,86.1469,67.78,16,94,13.94,CN,1618713676
Keti Bandar,24.1447,67.4497,82.92,63,35,9.64,PK,1618713677
Kiryat Gat,31.61,34.7642,65.37,63,0,3.44,IL,1618713545
Ayan,56.45,138.1667,28.04,89,98,4.27,RU,1618713678
Avera,33.194,-82.5271,61.75,63,90,4.94,US,1618713678
Fairbanks,64.8378,-147.7164,54.0,32,1,9.22,US,1618713625
Kolondiéba,11.0882,-6.8926,77.67,60,99,4.92,ML,1618713679
Cayenne,4.9333,-52.3333,79.48,83,90,12.73,GF,1618713560
Lomas de Sargentillo,-1.8833,-80.0833,80.6,65,75,13.8,EC,1618713680
Umluj,25.0213,37.2685,78.96,60,0,7.47,SA,1618713680
Chapadinha,-3.7417,-43.3603,72.36,97,86,1.5,BR,1618713681
Dourdan,48.5277,2.0111,35.08,84,69,1.01,FR,1618713681
Quang Ngai,15.1167,108.8,88.81,45,29,4.59,VN,1618713682
Klaksvík,62.2266,-6.589,46.4,93,100,27.63,FO,1618713517
Vila,42.0304,-8.1588,43.0,85,100,1.99,PT,1618713497
Butaritari,3.0707,172.7902,82.6,75,99,9.46,KI,1618713682
La Ronge,55.1001,-105.2842,35.6,64,96,10.36,CA,1618713683
Grand-Lahou,5.1367,-5.0242,78.26,85,69,6.93,CI,1618713684
Khovd,48.0056,91.6419,51.69,28,1,5.73,MN,1618713684
Port Elizabeth,-33.918,25.5701,50.0,93,0,2.3,ZA,1618713685
Twin Falls,42.3505,-114.6445,51.4,30,1,4.61,US,1618713685
Gwadar,25.1216,62.3254,81.52,54,60,4.9,PK,1618713685
Baker City,44.7749,-117.8344,58.57,20,1,4.61,US,1618713598
Vilyuysk,63.7553,121.6247,17.15,83,100,12.5,RU,1618713686
Kishtwār,33.3167,75.7667,55.35,70,46,0.78,IN,1618713686
Lorengau,-2.0226,147.2712,84.69,66,81,5.77,PG,1618713565
Kozlovo,56.5167,36.2667,40.59,77,10,11.01,RU,1618713687
Cap Malheureux,-19.9842,57.6142,75.0,84,58,3.0,MU,1618713688
Chui,-33.6971,-53.4616,63.54,90,45,5.06,UY,1618713688
Channel-Port aux Basques,47.5702,-59.1367,37.62,93,100,31.25,CA,1618713688
Pemba,-12.974,40.5178,71.6,94,20,9.22,MZ,1618713689
Ponta do Sol,32.6667,-17.1,52.32,71,65,3.0,PT,1618713689
Ribeira Grande,38.5167,-28.7,61.9,90,44,13.2,PT,1618713690
Camacha,33.0833,-16.3333,60.8,72,40,10.36,PT,1618713690
Avarua,-21.2078,-159.775,80.6,78,90,9.22,CK,1618713691
Muravlenko,63.7898,74.523,-1.48,91,13,13.04,RU,1618713692
Namatanai,-3.6667,152.4333,85.73,67,89,15.17,PG,1618713692
San Andrés,12.5847,-81.7006,82.4,83,40,9.22,CO,1618713502
Haines Junction,60.7522,-137.5108,55.4,24,10,5.75,CA,1618713693
Daru,-9.0763,143.2092,85.59,67,92,4.25,PG,1618713693
Hayden,47.766,-116.7866,60.51,30,1,4.61,US,1618713500
Petra,30.3222,35.4793,65.93,28,2,10.13,JO,1618713694
Joshīmath,30.5667,79.5667,58.21,56,19,1.61,IN,1618713576
Fria,10.4167,-13.5833,75.79,86,100,1.28,GN,1618713694
Coolum Beach,-26.5333,153.1,70.03,77,71,10.6,AU,1618713694
Uspenka,48.3903,39.1619,47.25,70,97,4.38,UA,1618713695
Røros,62.5747,11.3842,21.2,93,17,2.3,NO,1618713695
Aasiaat,68.7098,-52.8699,3.52,94,100,9.22,GL,1618713696
San Jose,37.3394,-121.895,63.88,48,1,10.36,US,1618713186
Oranjemund,-28.55,16.4333,73.44,39,5,4.03,NA,1618713696
Hasaki,35.7333,140.8333,67.48,39,20,18.41,JP,1618713697
Mirador,-6.3708,-44.3631,73.11,92,100,0.98,BR,1618713697
Sobolevo,54.4299,31.8996,42.96,84,51,12.95,RU,1618713698
Vao,-22.6667,167.4833,74.37,79,44,17.16,NC,1618713699
Soddy-Daisy,35.2359,-85.1908,54.91,62,75,3.83,US,1618713699
Ust-Nera,64.5667,143.2,26.46,79,100,16.02,RU,1618713700
Puro,12.4841,123.3827,81.88,73,100,24.72,PH,1618713701
Tataouine,32.9297,10.4518,60.8,77,43,4.61,TN,1618713701
Betioky,-23.7167,44.3833,59.05,58,0,10.69,MG,1618713701
Boende,-0.2167,20.8667,72.25,95,100,2.91,CD,1618713702
Solnechnyy,50.7214,136.6319,49.1,63,18,3.36,RU,1618713702
Atar,20.5169,-13.0499,72.1,25,0,8.1,MR,1618713703
Saint-Augustin,51.226,-58.6502,31.1,83,14,16.31,CA,1618713703
Mossamedes,-15.1961,12.1522,81.68,66,2,6.44,AO,1618713703
Aden,12.7794,45.0367,80.28,70,9,17.85,YE,1618713704
Ōmagari,39.45,140.4833,51.8,66,75,6.91,JP,1618713704
Narsaq,60.9167,-46.05,21.2,42,20,1.14,GL,1618713704
Nampula,-15.1165,39.2666,66.2,82,40,10.36,MZ,1618713705
Pangai,-19.8,-174.35,78.03,69,9,8.7,TO,1618713705
Bambous Virieux,-20.3428,57.7575,75.11,94,40,3.44,MU,1618713706
Kalmunai,7.4167,81.8167,82.31,72,100,4.32,LK,1618713706
Te Anau,-45.4167,167.7167,56.43,72,84,8.12,NZ,1618713707
Cabo San Lucas,22.8909,-109.9124,73.58,50,1,11.99,MX,1618713502
Nueva Italia,-25.6167,-57.5,71.29,88,0,5.75,PY,1618713707
Anadyr,64.75,177.4833,26.26,93,90,8.95,RU,1618713708
Victor Harbor,-35.5667,138.6167,66.99,54,81,1.99,AU,1618713708
Teahupoo,-17.8333,-149.2667,86.0,66,20,10.36,PF,1618713709
Măgireşti,46.5167,26.55,40.33,87,90,4.61,RO,1618713709
Guerrero Negro,27.9769,-114.0611,58.89,80,0,20.13,MX,1618713641
Avenal,36.0041,-120.129,74.93,21,1,11.5,US,1618713710
Yar-Sale,66.8333,70.8333,0.28,95,60,10.83,RU,1618713710
Gladstone,-23.85,151.25,80.6,50,75,5.75,AU,1618713710
Broome,42.2506,-75.833,42.4,81,90,4.61,US,1618713711
The Hague,52.0767,4.2986,40.46,92,100,7.11,NL,1618713417
Bushehr,28.9684,50.8385,66.2,94,59,3.04,IR,1618713711
Syamzha,60.0158,41.0614,36.12,86,82,5.12,RU,1618713712
Kovvūr,17.0167,81.7333,84.2,79,40,3.44,IN,1618713712
Zhangaözen,43.3,52.8,63.18,27,100,4.94,KZ,1618713713
Seoul,37.5683,126.9778,54.23,44,20,11.5,KR,1618713674
Bennettsville,34.6174,-79.6848,61.61,59,90,4.27,US,1618713466
Watsa,3.0372,29.5355,66.7,79,100,3.13,CD,1618713713
Sing Buri,14.85,100.2333,90.0,57,29,5.19,TH,1618713714
Payo,-3.7508,103.6372,82.65,70,100,1.86,ID,1618713714
Garden City,42.3256,-83.331,46.58,71,20,5.75,US,1618713716
Chokurdakh,70.6333,147.9167,20.03,89,77,7.65,RU,1618713516
Longyearbyen,78.2186,15.6401,28.4,80,75,2.3,SJ,1618713716
Yaan,7.3833,8.5667,77.7,82,100,7.87,NG,1618713717
Sompeta,18.9333,84.6,87.28,60,1,11.32,IN,1618713717
Thunder Bay,48.4001,-89.3168,36.97,65,1,6.91,CA,1618713616
Weiser,44.251,-116.9693,66.2,18,1,5.75,US,1618713718
Kamyshla,54.1169,52.1426,43.29,62,0,8.97,RU,1618713718
Río Gallegos,-51.6226,-69.2181,50.27,56,25,11.21,AR,1618713718
Hualmay,-11.0964,-77.6139,67.46,88,75,6.33,PE,1618713719
Carnarvon,-24.8667,113.6333,81.34,42,25,3.69,AU,1618713719
Palmer,42.1584,-72.3287,40.28,75,75,1.32,US,1618713542
Gijón,43.5357,-5.6615,42.13,70,16,5.95,ES,1618713535
Severo-Kuril'sk,50.6789,156.125,38.03,62,100,8.43,RU,1618713504
Sainte-Marie,-20.8968,55.5496,69.31,88,90,5.75,RE,1618713720
Chadiza,-14.0678,32.4392,58.17,91,100,8.48,ZM,1618713720
Tautira,-17.7333,-149.15,86.0,66,20,10.36,PF,1618713537
Muroto-misakicho,33.2833,134.15,57.2,44,75,9.22,JP,1618713721
East London,-33.0153,27.9116,62.8,36,5,6.33,ZA,1618713721
Kariba,-16.5167,28.8,62.46,76,98,4.41,ZW,1618713722
Arrondissement du Havre,49.5833,0.3333,35.67,81,0,3.44,FR,1618713722
San Rafael,-34.6177,-68.3301,68.05,63,63,3.85,AR,1618713722
Krasnosel'kup,65.7,82.4667,-2.25,90,34,14.65,RU,1618713723
Presidente Médici,-11.1753,-61.9014,72.61,96,100,3.65,BR,1618713723
Otradnoye,59.7775,30.8181,38.77,52,0,6.71,RU,1618713724
Bahía Honda,22.9036,-83.1592,74.66,88,26,4.29,CU,1618713724
San Patricio,28.017,-97.5169,61.27,77,90,8.05,US,1618713725
Souillac,-20.5167,57.5167,75.2,94,40,3.44,MU,1618713725
Yumen,40.2833,97.2,59.45,10,100,1.52,CN,1618713726
Quatre Cocos,-20.2078,57.7625,75.09,94,40,3.44,MU,1618713726
Panama City,8.9936,-79.5197,78.31,89,90,4.61,PA,1618713727
Esperance,-33.8667,121.9,69.8,52,0,8.05,AU,1618713727
